domain,length,dot_count,hyphen_count,digit_count,min_levenshtein,max_jarowinkler,is_punycode,split_assignment,label
legit-portal-service-1705.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
legit-portal-service-4965.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-3644.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-4696.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
legit-portal-service-2431.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
legit-portal-service-4243.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
legit-portal-service-2532.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
legit-portal-service-657.com,28,1,3,3,17,0.642063492063492,0,unbalanced_val,0
legit-portal-service-1920.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-1252.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
legit-portal-service-4564.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-1343.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-2380.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-659.com,28,1,3,3,17,0.642063492063492,0,unbalanced_val,0
legit-portal-service-187.com,28,1,3,3,17,0.642063492063492,0,balanced_train,0
legit-portal-service-1922.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
legit-portal-service-4094.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-111.com,28,1,3,3,17,0.642063492063492,0,balanced_train,0
legit-portal-service-4132.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-4890.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-462.com,28,1,3,3,17,0.642063492063492,0,unbalanced_val,0
legit-portal-service-1091.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-1968.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
legit-portal-service-669.com,28,1,3,3,17,0.642063492063492,0,unbalanced_val,0
legit-portal-service-2006.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-1878.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
legit-portal-service-2408.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-2956.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
legit-portal-service-4577.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
legit-portal-service-2699.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
legit-portal-service-1071.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-421.com,28,1,3,3,17,0.642063492063492,0,unbalanced_val,0
legit-portal-service-2820.com,29,1,3,4,18,0.6432950191570881,0,balanced_train,0
legit-portal-service-1073.com,29,1,3,4,18,0.6432950191570881,0,unbalanced_val,0
